id,text
2096419430,小梧桐
5872229150,互联网大会，桐乡乌镇
2246582475,相约乌镇，小梧桐与您不见不散
2284653525, 给力支持，爱在心间啊
2680519721,理工学子[加油][加油][加油]
2359497050,为所有辛勤付出的小梧桐点赞
2359497050,为所有辛勤付出的小梧桐点赞
2130636673,为世界互联网大会小梧桐点赞
2965773740,转发微博
2270311600,世界互联网大会的一抹蓝，“小梧桐”五岁啦！为所有辛勤付出的小梧桐点赞
6575312299, 慧琳书记美美哒，小坞桐五岁了，越变越美
3655523877,希望五年如一，继续推动互联网的共赢发展，合作向美好的未来
5455194129,必须滴
6345736233,前不久的吉林省青年农村电商人才训练营暨农特产品网销大赛与领导有过一面之缘[中国赞]
2483710463,作为一个桐乡人 也作为一名小梧桐 努力为办好世界互联网大会添砖加瓦[加油][加油][加油]
5455194129,转发微博
5139656397,喵(^･ｪ･^)
3029756207,好哇，哈哈哈
5982911018,大白来也
5139656397,正能量姑娘，我是超哥，快来互关啊
3029756207,一切尽在无言中 爱你们，小梧桐 
3753839034,为我们辛苦的小梧桐点赞
2901454680,为所有辛勤付出的小梧桐点赞
2729195581,棒棒哒
2665352801,为慧琳书记点赞！为小梧桐点赞
